name,BUILDING,STREET,zip code,PHONE,object,,,
mud park,3,1 ave,10017,2125298766,1,,,
one and one,12,1 ave,10009,2125989126,2,,,
lucien,14,1 ave,10009,2122606481,4,,,
la linea lounge,15,1 ave,10003,2127771571,5,,,
grayson,16,1 ave,10009,2125108726,6,,,
lil frankies pizza,19,1 ave,10003,2124204900,7,,,
divyas kitchen,25,1 ave,10003,2124774834,9,,,
little gios pizza,26,1 ave,10009,2124778020,10,,,
spiegel,26,1 ave,10009,2122282894,11,,,
new double dragon,37,1 ave,10003,2125980730,12,,,
dba,41,1 ave,10003,2124755097,13,,,
azizas cafe lounge,45,1 ave,10003,2127773778,14,,,
karma,51,1 ave,10003,2126770351,15,,,
al horno lean mexican kitchen,57,1 ave,10003,6466093762,16,,,
red koi organic sushi lounge,57,1 ave,10003,2123666495,17,,,
choko restaurant,59,1 ave,10003,2123880885,18,,,
little saigon,59,1 ave,10003,2125989898,19,,,
jennifer cafe,67,1 ave,10003,9176745443,20,,,
downtown bakery ii mexican food,69,1 ave,10003,2122541757,21,,,
fancy juice,69,1 ave,10003,2122281256,22,,,
spice,71,1 ave,10003,2122532742,24,,,
pukk,71,1 ave,10003,2122532741,23,,,
three of cups,83,1 ave,10003,2123880059,25,,,
shinbashi restaurant,85,1 ave,10003,9176756723,26,,,
sigiri,91,1 ave,10003,2126149333,28,,,
milon bangladesh,93,1 ave,10003,2122284896,29,,,
panna ii garden indian restaurant,93,1 ave,10003,2125984610,30,,,
royal bangladesh indian restaurant,93,1 ave,10003,2126746209,31,,,
upstate,95,1 ave,10003,9176748956,32,,,
mancora,99,1 ave,10003,2122531011,35,,,
dunkin donuts baskin robbins,100,1 ave,10009,2123881689,36,,,
coal yard bar,102,1 ave,10009,2126774595,37,,,
mcdonalds,102,1 ave,10009,2124779171,38,,,
ugly kitchen,103,1 ave,10003,2127776677,39,,,
empellon cocina,105,1 ave,10003,2123670999,41,,,
counter,105,1 ave,10003,2129825870,40,,,
huertas,107,1 ave,10003,2122284490,43,,,
eemo,107,1 ave,10003,2125057974,42,,,
subway,108,1 ave,10009,2127771154,44,,,
senya,109,1 ave,10003,6463353160,46,,,
polish gi delicatessen,109,1 ave,10003,2129827893,45,,,
sushi dojo,110,1 ave,10009,6466929398,48,,,
polonia,110,1 ave,10009,2122549699,47,,,
maharlika,111,1 ave,10003,6463927880,50,,,
angelina,111,1 ave,10003,2125337183,49,,,
che cafe,113,1 ave,10003,9149800638,51,,,
wcou radio tile bar,115,1 ave,10003,2122544317,52,,,
oiji,119,1 ave,10003,6467679050,54,,,
dok suni,119,1 ave,10003,2124779506,53,,,
the tang,120,1 ave,10009,6466783092,56,,,
la casalinga restaurant,120,1 ave,10009,2129791246,55,,,
mala project,122,1 ave,10009,2123538880,57,,,
the organic grill,123,1 ave,10003,2124777177,58,,,
ravagh persian grill,125,1 ave,10003,2123350207,59,,,
the grafton public house,126,1 ave,10009,2122288580,60,,,
noreetuh,128,1 ave,10009,6468923050,62,,,
la foccaceria,128,1 ave,10009,2122544946,61,,,
sweet generation,130,1 ave,10009,6469645777,64,,,
first ave pierogi deli co,130,1 ave,10009,2124209690,63,,,
v bar,132,1 ave,10009,2124737200,65,,,
good night sonny,134,1 ave,10009,9173328432,66,,,
dan and johns wings,135,1 ave,10003,2128589935,67,,,
daveys ice cream,137,1 ave,10003,2122288032,68,,,
drunken dumpling,137,1 ave,10003,9292348337,69,,,
le marecage,137,1 ave,10003,9292261961,70,,,
tara thai cuisine,137,1 ave,10003,2127775141,71,,,
the hard swallow,140,1 ave,10009,6468582631,72,,,
kikoo sushi,141,1 ave,10003,2125333888,73,,,
paquitos,143,1 ave,10003,2126742071,74,,,
china star,145,1 ave,10003,2127773888,75,,,
